,GRADE
2807,A
2808,A
2809,B
2810,B
2811,A
2812,A
2813,B
2814,C
2815,A
2816,B
2817,B
2818,C
2819,C
2820,A
2821,A
2822,A
2823,B
2824,A
2825,A
2826,A
2827,A
2828,C
2829,C
2830,A
2831,A
2832,A
2833,A
2834,B
2835,A
2836,A
2837,A
2838,B
2839,A
2840,A
2841,C
2842,C
2843,A
2844,A
2845,B
2846,C
2847,B
2848,A
2849,C
2850,A
2851,A
2852,A
2853,A
2854,A
2855,A
2856,A
2857,A
2858,A
2859,A
2860,A
2861,A
2862,C
2863,A
2864,A
2865,A
2866,A
2867,C
2868,A
2869,A
2870,C
2871,A
2872,B
2873,B
2874,A
2875,C
2876,A
2877,A
2878,A
2879,A
2880,A
2881,A
2882,A
2883,A
2884,A
2885,A
2886,A
2887,A
2888,B
2889,A
2890,A
2891,A
2892,A
2893,C
2894,A
2895,A
2896,A
2897,A
2898,B
2899,A
2900,A
2901,A
2902,A
2903,A
2904,A
2905,A
2906,C
2907,A
2908,B
2909,B
2910,A
2911,A
2912,A
2913,C
2914,B
2915,B
2916,A
2917,A
2918,A
2919,C
2920,B
2921,A
2922,A
2923,B
2924,C
2925,A
2926,A
2927,A
2928,A
2929,A
2930,A
2931,B
2932,A
2933,A
2934,A
2935,A
2936,C
2937,A
2938,A
2939,A
2940,B
2941,A
2942,C
2943,A
2944,A
2945,B
2946,C
2947,B
2948,C
2949,C
2950,B
2951,A
2952,B
2953,A
2954,A
2955,A
2956,A
2957,A
2958,B
2959,C
2960,A
2961,A
2962,C
2963,A
2964,B
2965,A
2966,A
2967,B
2968,A
2969,C
2970,A
2971,A
2972,B
2973,B
2974,B
2975,A
2976,A
2977,A
2978,A
2979,A
2980,A
2981,A
2982,B
2983,A
2984,A
2985,A
2986,A
2987,B
2988,A
2989,B
2990,B
